step,z_k,z_next,predictor,u_cur,v_cur,u_pred,v_pred,Phi_before,Phi_after,newton_iters,newton_conv,u_after,v_after,kappa_n,flag,ds_ratio,bisect_level,note
51,661.4792,674.4494,DAE,193.052762,1.927904,194.946077,1.945879,9.3807e-06,-2.3164e-12,1,1,194.946074,1.945879,-6.988152e-03,0,1.0135,0,OK
52,674.4494,687.4196,DAE,194.946074,1.945879,196.932465,1.964285,1.0346e-05,-5.0377e-11,1,1,196.932461,1.964285,-6.647431e-03,0,1.0140,0,OK
53,687.4196,700.3898,DAE,196.932461,1.964285,199.040564,1.983109,1.0411e-05,1.0381e-11,1,1,199.040559,1.983109,-6.265213e-03,0,1.0145,0,OK
54,700.3898,713.36,DAE,199.040559,1.983109,201.311279,2.002301,1.2301e-05,3.6916e-11,1,1,201.311274,2.002301,-5.836764e-03,0,1.0146,0,OK
55,713.36,726.3301,DAE,201.311274,2.002301,203.811091,2.021626,1.3757e-05,5.7980e-12,1,1,203.811085,2.021626,-5.355321e-03,0,1.0102,0,OK
56,726.3301,739.3003,DAE,203.811085,2.021626,206.670622,2.040171,2.4043e-05,-5.4641e-12,1,1,206.670609,2.040171,-4.809853e-03,0,0.9984,0,OK
57,739.3003,752.2705,DAE,206.670609,2.040171,210.111022,2.05746,2.6849e-05,-3.0706e-11,1,1,210.111004,2.05746,-4.178228e-03,0,1.0117,0,OK
58,752.2705,765.2407,DAE,210.111004,2.05746,214.64489,2.073114,2.4976e-05,-3.1624e-11,1,1,214.644868,2.073114,-3.427008e-03,0,1.0588,0,OK
59,765.2407,778.2109,DAE,214.644868,2.073114,222.348328,2.08743,2.8365e-05,-7.6814e-11,1,1,222.348276,2.08743,-2.489388e-03,0,1.2905,0,OK
60,778.2109,791.181,FALLBACK_EULER,222.348276,2.08743,None,None,N/A,-1.7101e+00,873,0,237.689909,2.238658,-1.154813e-03,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
61,791.181,804.1512,FALLBACK_EULER,237.689909,2.238658,None,None,N/A,-8.3607e+00,2560,0,247.074481,2.251152,-2.673331e-08,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
62,804.1512,817.1214,FALLBACK_EULER,247.074481,2.251152,None,None,N/A,-1.5286e+01,20,0,257.264957,2.268741,-5.209766e-12,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
63,817.1214,830.0916,FALLBACK_EULER,257.264957,2.268741,None,None,N/A,-2.2476e+01,20,0,267.235697,2.287894,-2.311613e-10,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
64,830.0916,843.0618,FALLBACK_EULER,267.235697,2.287894,None,None,N/A,-2.9925e+01,20,0,276.966232,2.307768,-6.357652e-11,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
65,843.0618,856.032,FALLBACK_EULER,276.966232,2.307768,None,None,N/A,-3.7627e+01,20,0,286.436904,2.328994,-2.047110e-10,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
66,856.032,869.0021,FALLBACK_EULER,286.436904,2.328994,None,None,N/A,-4.5572e+01,20,0,295.627826,2.351935,-3.931854e-10,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
67,869.0021,881.9723,FALLBACK_EULER,295.627826,2.351935,None,None,N/A,-5.3749e+01,20,0,304.518447,2.377014,-4.187486e-10,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
68,881.9723,894.9425,FALLBACK_EULER,304.518447,2.377014,None,None,N/A,-6.2650e+01,20,0,313.087351,2.331188,-1.474679e-10,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
69,894.9425,907.9127,FALLBACK_EULER,313.087351,2.331188,None,None,N/A,-7.2015e+01,80,0,319.344364,2.314694,-3.773843e-06,1,N/A,2,";FALLBACK_BISECT=2,conv=False"
70,907.9127,920.8829,FALLBACK_EULER,319.344364,2.314694,None,None,N/A,-8.0689e+01,20,0,327.201799,2.583931,-8.998718e-06,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
71,920.8829,933.853,FALLBACK_EULER,327.201799,2.583931,None,None,N/A,-8.9536e+01,40,0,334.33835,2.619872,-7.971036e-06,1,N/A,1,";FALLBACK_BISECT=1,conv=False"
72,933.853,946.8232,FALLBACK_EULER,334.33835,2.619872,None,None,N/A,-9.8461e+01,20,0,341.387367,2.425448,-7.174146e-06,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
73,946.8232,959.7934,FALLBACK_EULER,341.387367,2.425448,None,None,N/A,-1.0748e+02,40,0,345.733088,2.705169,-6.286245e-06,1,N/A,1,";FALLBACK_BISECT=1,conv=False"
74,959.7934,972.7636,FALLBACK_EULER,345.733088,2.705169,None,None,N/A,-1.1646e+02,40,0,349.032769,2.755854,-5.649947e-06,1,N/A,1,";FALLBACK_BISECT=1,conv=False"
75,972.7636,985.7338,FALLBACK_EULER,349.032769,2.755854,None,None,N/A,-1.2446e+02,2560,0,353.920414,2.695709,-4.876689e-06,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
76,985.7338,998.7039,FALLBACK_EULER,353.920414,2.695709,None,None,N/A,-1.3320e+02,20,0,359.037559,2.763317,-3.322081e-10,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
77,998.7039,1011.6741,FALLBACK_EULER,359.037559,2.763317,None,None,N/A,-1.4235e+02,20,0,363.608147,2.725747,-1.553131e-10,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
78,1011.6741,1024.6443,FALLBACK_EULER,363.608147,2.725747,None,None,N/A,-1.5022e+02,20,0,367.611756,3.049998,-3.118394e-06,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
79,1024.6443,1037.6145,FALLBACK_EULER,367.611756,3.049998,None,None,N/A,-1.5673e+02,2560,0,370.090212,3.034651,-2.752523e-06,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
80,1037.6145,1050.5847,FALLBACK_EULER,370.090212,3.034651,None,None,N/A,-1.6303e+02,20,0,372.912496,3.141964,-1.076637e-09,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
81,1050.5847,1063.5549,FALLBACK_EULER,372.912496,3.141964,None,None,N/A,-1.6812e+02,2560,0,374.434455,3.290783,-3.730727e-08,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
82,1063.5549,1076.525,FALLBACK_EULER,374.434455,3.290783,None,None,N/A,-1.7175e+02,2560,0,375.52249,3.446503,-1.864131e-09,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
83,1076.525,1089.4952,FALLBACK_EULER,375.52249,3.446503,None,None,N/A,-1.7416e+02,20,0,376.49315,3.496664,-1.650828e-11,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
84,1089.4952,1102.4654,FALLBACK_EULER,376.49315,3.496664,376.510871,3.669284,-1.7416e+02,-1.7372e+02,20,0,376.829824,3.776509,-1.448296e-06,4,N/A,0,"NEWTON_FAIL:conv=False,Phi=-1.74e+02,nit=20;FALLBACK_BISECT=0,conv=False"
85,1102.4654,1115.4356,FALLBACK_EULER,376.829824,3.776509,None,None,N/A,-1.7243e+02,20,0,376.528186,3.821887,-2.985891e-10,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
86,1115.4356,1128.4058,FALLBACK_EULER,376.528186,3.821887,375.270093,3.774951,-1.7243e+02,-1.6833e+02,20,0,375.587904,4.095726,-1.627724e-06,4,N/A,0,"NEWTON_FAIL:conv=False,Phi=-1.68e+02,nit=20;FALLBACK_BISECT=0,conv=False"
87,1128.4058,1141.3759,FALLBACK_EULER,375.587904,4.095726,None,None,N/A,-1.6387e+02,2560,0,373.727075,4.344298,-4.575342e-09,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
88,1141.3759,1154.3461,FALLBACK_EULER,373.727075,4.344298,371.2188,4.731873,-1.6387e+02,-1.5763e+02,2560,0,371.221193,4.465035,-2.046305e-06,1,N/A,7,"NEWTON_FAIL:conv=False,Phi=-1.57e+02,nit=20;FALLBACK_BISECT=7,conv=False"
89,1154.3461,1167.3163,FALLBACK_EULER,371.221193,4.465035,368.109087,4.848501,-1.5763e+02,-1.4977e+02,40,0,368.258106,4.456411,-2.337728e-06,1,N/A,1,"NEWTON_FAIL:conv=False,Phi=-1.50e+02,nit=20;FALLBACK_BISECT=1,conv=False"
90,1167.3163,1180.2865,FALLBACK_EULER,368.258106,4.456411,None,None,N/A,-1.4263e+02,2560,0,364.635941,4.427406,-1.944040e-09,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
91,1180.2865,1193.2567,FALLBACK_EULER,364.635941,4.427406,360.382856,4.227642,-1.4263e+02,-1.3431e+02,40,0,360.519314,4.507028,-3.138862e-06,1,N/A,1,"NEWTON_FAIL:conv=False,Phi=-1.34e+02,nit=20;FALLBACK_BISECT=1,conv=False"
92,1193.2567,1206.2268,FALLBACK_EULER,360.519314,4.507028,355.738927,4.303051,-1.3431e+02,-1.2573e+02,2560,0,355.740922,4.574457,-3.576245e-06,1,N/A,7,"NEWTON_FAIL:conv=False,Phi=-1.25e+02,nit=20;FALLBACK_BISECT=7,conv=False"
93,1206.2268,1219.197,FALLBACK_EULER,355.740922,4.574457,350.467453,4.371918,-1.2573e+02,-1.1700e+02,20,0,350.708102,4.869471,-4.201039e-06,4,N/A,0,"NEWTON_FAIL:conv=False,Phi=-1.16e+02,nit=20;FALLBACK_BISECT=0,conv=False"
94,1219.197,1232.1672,FALLBACK_EULER,350.708102,4.869471,344.976212,5.175934,-1.1700e+02,-1.0821e+02,2560,0,344.977939,4.922904,-4.874062e-06,1,N/A,7,"NEWTON_FAIL:conv=False,Phi=-1.07e+02,nit=20;FALLBACK_BISECT=7,conv=False"
95,1232.1672,1245.1374,FALLBACK_EULER,344.977939,4.922904,338.817981,5.214086,-1.0821e+02,-9.9449e+01,2560,0,338.819603,4.971701,-5.482504e-06,1,N/A,7,"NEWTON_FAIL:conv=False,Phi=-9.94e+01,nit=20;FALLBACK_BISECT=7,conv=False"
96,1245.1374,1258.1076,FALLBACK_EULER,338.819603,4.971701,332.254836,5.24812,-9.9449e+01,-8.9722e+01,40,0,332.354057,4.870295,-6.184360e-06,1,N/A,1,"NEWTON_FAIL:conv=False,Phi=-8.97e+01,nit=20;FALLBACK_BISECT=1,conv=False"
97,1258.1076,1271.0778,FALLBACK_EULER,332.354057,4.870295,325.401337,4.618741,-8.9722e+01,-8.2208e+01,2560,0,325.451849,5.056788,-4.079035e-07,1,N/A,7,"NEWTON_FAIL:conv=False,Phi=-8.22e+01,nit=20;FALLBACK_BISECT=7,conv=False"
98,1271.0778,1284.0479,FALLBACK_EULER,325.451849,5.056788,318.123921,5.306517,-8.2208e+01,-7.3777e+01,2560,0,318.125365,5.094118,-7.699419e-06,1,N/A,7,"NEWTON_FAIL:conv=False,Phi=-7.25e+01,nit=20;FALLBACK_BISECT=7,conv=False"
99,1284.0479,1297.0181,FALLBACK_EULER,318.125365,5.094118,310.43295,5.331787,-7.3777e+01,-6.4197e+01,80,0,312.062906,5.012047,-8.496732e-06,1,N/A,2,"NEWTON_FAIL:conv=False,Phi=-6.42e+01,nit=20;FALLBACK_BISECT=2,conv=False"
100,1297.0181,1309.9883,FALLBACK_EULER,312.062906,5.012047,None,None,N/A,-5.6018e+01,20,0,304.191593,5.042021,-1.151368e-09,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
101,1309.9883,1322.9585,FALLBACK_EULER,304.191593,5.042021,None,None,N/A,-4.8068e+01,20,0,295.970777,5.048057,-6.253791e-11,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
102,1322.9585,1335.9287,FALLBACK_EULER,295.970777,5.048057,287.24627,4.824467,-4.8068e+01,-4.0194e+01,2560,0,287.6716,5.097503,-4.389290e-07,1,N/A,7,"NEWTON_FAIL:conv=False,Phi=-4.02e+01,nit=20;FALLBACK_BISECT=7,conv=False"
103,1335.9287,1348.8988,FALLBACK_EULER,287.6716,5.097503,None,None,N/A,-3.2571e+01,20,0,278.784576,5.120781,-4.210677e-10,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
104,1348.8988,1361.869,FALLBACK_EULER,278.784576,5.120781,None,None,N/A,-2.5157e+01,2560,0,269.777196,5.145726,-4.226673e-09,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
105,1361.869,1374.8392,FALLBACK_EULER,269.777196,5.145726,None,None,N/A,-1.9620e+01,20,0,260.282059,5.047808,-1.369336e-14,3,N/A,0,";FALLBACK_BISECT=0,conv=False"
106,1374.8392,1387.8094,FALLBACK_EULER,260.282059,5.047808,250.385005,4.91828,-1.9620e+01,-1.1009e+01,20,0,250.512644,5.188484,-1.498684e-05,4,N/A,0,"NEWTON_FAIL:conv=False,Phi=-1.27e+01,nit=20;FALLBACK_BISECT=0,conv=False"
107,1387.8094,1400.7796,FALLBACK_EULER,250.512644,5.188484,None,None,N/A,-4.2982e+00,2560,0,241.08144,5.205119,-4.101380e-09,1,N/A,7,";FALLBACK_BISECT=7,conv=False"
108,1400.7796,1413.7497,OPTICAL,241.08144,5.205119,241.08144,-1.078066,2.1192e+00,-7.1232e-13,4,1,241.08144,5.092135,-5.954781e-13,0,2.5450,0,OK
109,1413.7497,1426.7199,DAE,241.08144,5.092135,228.872003,4.990986,-2.9382e-05,-8.0070e-11,1,1,228.872055,4.990986,-2.226603e-05,0,0.6311,0,OK
110,1426.7199,1439.6901,DAE,228.872055,4.990986,217.032412,5.006169,-6.8480e-06,-1.4555e-11,1,1,217.032419,5.006169,-4.360408e-04,0,0.6185,0,OK
111,1439.6901,1452.6603,DAE,217.032419,5.006169,211.376397,5.032133,1.6646e-06,-1.1660e-11,1,1,211.376396,5.032133,-2.066124e-03,0,0.8912,0,OK
112,1452.6603,1465.6305,DAE,211.376396,5.032133,207.336327,5.057268,-1.3938e-06,1.5124e-11,1,1,207.336327,5.057268,-3.170510e-03,0,0.9461,0,OK
113,1465.6305,1478.6006,DAE,207.336327,5.057268,204.051999,5.081408,9.1323e-07,5.2470e-11,1,1,204.051999,5.081408,-4.030587e-03,0,0.9645,0,OK
114,1478.6006,1491.5708,DAE,204.051999,5.081408,201.212269,5.10466,9.2320e-06,2.5508e-12,1,1,201.212265,5.10466,-4.745007e-03,0,0.9730,0,OK
115,1491.5708,1504.541,DAE,201.212265,5.10466,198.665642,5.127121,1.1853e-05,1.2747e-11,1,1,198.665637,5.127121,-5.356272e-03,0,0.9778,0,OK
116,1504.541,1517.5112,DAE,198.665637,5.127121,196.325316,5.148863,1.1708e-05,-2.5963e-11,1,1,196.325312,5.148863,-5.887380e-03,0,0.9807,0,OK
117,1517.5112,1530.4814,DAE,196.325312,5.148863,194.13599,5.169939,8.4068e-06,1.6264e-11,1,1,194.135987,5.169939,-6.352465e-03,0,0.9825,0,OK
118,1530.4814,1543.4516,DAE,194.135987,5.169939,192.059634,5.19039,5.5478e-06,1.2157e-11,1,1,192.059632,5.19039,-6.760919e-03,0,0.9839,0,OK
119,1543.4516,1556.4217,DAE,192.059632,5.19039,190.068514,5.210254,5.0566e-06,4.1652e-11,1,1,190.068512,5.210254,-7.119309e-03,0,0.9851,0,OK
120,1556.4217,1569.3919,DAE,190.068512,5.210254,188.141455,5.229581,2.5848e-07,6.0609e-12,1,1,188.141454,5.229581,-7.432372e-03,0,0.9866,0,OK
121,1569.3919,1582.3621,DAE,188.141454,5.229581,186.261639,5.248447,-3.0320e-06,-3.0681e-11,1,1,186.26164,5.248447,-7.703581e-03,0,0.9887,0,OK
122,1582.3621,1595.3323,DAE,186.26164,5.248447,184.415104,5.266943,-1.1551e-05,2.3370e-11,1,1,184.415108,5.266943,-7.935502e-03,0,0.9911,0,OK
123,1595.3323,1608.3025,DAE,184.415108,5.266943,182.589689,5.285156,-3.0102e-05,-2.1188e-11,1,1,182.589699,5.285156,-8.130042e-03,0,0.9934,0,OK
124,1608.3025,1621.2726,DAE,182.589699,5.285156,180.77435,5.303163,-2.2003e-05,3.4973e-11,1,1,180.774358,5.303163,-8.288604e-03,0,0.9954,0,OK
125,1621.2726,1634.2428,DAE,180.774358,5.303163,178.958653,5.321023,-1.9482e-06,1.3159e-11,1,1,178.958654,5.321023,-8.412180e-03,0,0.9971,0,OK
126,1634.2428,1647.213,DAE,178.958654,5.321023,177.132305,5.338775,-1.3918e-06,-2.6191e-11,1,1,177.132306,5.338775,-8.501406e-03,0,0.9982,0,OK
127,1647.213,1660.1832,DAE,177.132306,5.338775,175.284905,5.356439,-2.2397e-06,1.5632e-11,1,1,175.284906,5.356439,-8.556593e-03,0,0.9992,0,OK
128,1660.1832,1673.1534,DAE,175.284906,5.356439,173.405699,5.374043,-7.2398e-06,-1.5220e-11,1,1,173.405702,5.374043,-8.577744e-03,0,1.0004,0,OK
129,1673.1534,1686.1235,DAE,173.405702,5.374043,171.48324,5.391615,-6.7163e-06,-2.4926e-11,1,1,171.483242,5.391615,-8.564575e-03,0,1.0016,0,OK
130,1686.1235,1699.0937,DAE,171.483242,5.391615,169.504993,5.409185,-7.0514e-06,-2.1203e-11,1,1,169.504996,5.409185,-8.516527e-03,0,1.0030,0,OK
131,1699.0937,1712.0639,DAE,169.504996,5.409185,167.456904,5.426784,-1.0104e-05,-1.0161e-11,1,1,167.456909,5.426784,-8.432775e-03,0,1.0045,0,OK
132,1712.0639,1725.0341,DAE,167.456909,5.426784,165.32287,5.44444,-6.6643e-06,2.3562e-11,1,1,165.322873,5.44444,-8.312241e-03,0,1.0062,0,OK
133,1725.0341,1738.0043,DAE,165.322873,5.44444,163.084047,5.462186,-5.4694e-06,8.9528e-12,1,1,163.084049,5.462186,-8.153596e-03,0,1.0080,0,OK
134,1738.0043,1750.9745,DAE,163.084049,5.462186,160.717989,5.480052,-5.1146e-06,9.5355e-12,1,1,160.717992,5.480052,-7.955283e-03,0,1.0101,0,OK
135,1750.9745,1763.9446,DAE,160.717992,5.480052,158.197491,5.49807,-4.6002e-06,-1.8716e-11,1,1,158.197494,5.49807,-7.715548e-03,0,1.0125,0,OK
136,1763.9446,1776.9148,DAE,158.197494,5.49807,155.488971,5.51627,-1.0827e-05,2.5452e-11,1,1,155.488977,5.51627,-7.432504e-03,0,1.0154,0,OK
137,1776.9148,1789.885,DAE,155.488977,5.51627,152.550336,5.534685,-1.0191e-05,-1.1937e-12,1,1,152.550342,5.534685,-7.104233e-03,0,1.0189,0,OK
