z,r,dr_dz,d2r_dz2,curvature
145.075598,233.260686,0.872231,-0.005615,0.002403
145.455573,233.471571,0.870205,-0.005670,0.002434
145.835548,233.681094,0.868157,-0.005710,0.002459
146.215523,233.889275,0.866098,-0.005697,0.002461
146.595499,234.096177,0.864056,-0.005609,0.002430
146.975474,234.301838,0.862055,-0.005506,0.002392
147.355449,234.506245,0.860084,-0.005459,0.002379
147.735424,234.709379,0.858113,-0.005474,0.002393
148.115400,234.911232,0.856127,-0.005502,0.002412
148.495375,235.111807,0.854132,-0.005513,0.002424
148.875350,235.311103,0.852134,-0.005513,0.002431
149.255325,235.509117,0.850135,-0.005514,0.002438
149.635300,235.705845,0.848133,-0.005520,0.002448
150.015276,235.901284,0.846126,-0.005529,0.002460
150.395251,236.095433,0.844113,-0.005537,0.002471
150.775226,236.288289,0.842096,-0.005545,0.002482
151.155201,236.479849,0.840074,-0.005553,0.002493
151.535177,236.670112,0.838046,-0.005563,0.002505
151.915152,236.859074,0.836013,-0.005573,0.002517
152.295127,237.046736,0.833974,-0.005583,0.002529
152.675102,237.233096,0.831930,-0.005595,0.002542
153.055077,237.418149,0.829879,-0.005606,0.002555
153.435053,237.601891,0.827821,-0.005618,0.002568
153.815028,237.784324,0.825757,-0.005631,0.002582
154.195003,237.965458,0.823686,-0.005645,0.002596
154.574978,238.145295,0.821608,-0.005659,0.002610
154.954954,238.323803,0.819522,-0.005673,0.002625
155.334929,238.500939,0.817429,-0.005688,0.002640
155.714904,238.676664,0.815328,-0.005704,0.002656
156.094879,238.850948,0.813219,-0.005720,0.002671
156.474854,239.023769,0.811102,-0.005737,0.002688
156.854830,239.195180,0.808976,-0.005754,0.002704
157.234805,239.365254,0.806842,-0.005772,0.002721
157.614780,239.534031,0.804698,-0.005791,0.002738
157.994755,239.701492,0.802546,-0.005810,0.002756
158.374731,239.867621,0.800384,-0.005829,0.002774
158.754706,240.032416,0.798212,-0.005849,0.002792
159.134681,240.195883,0.796030,-0.005870,0.002811
159.514656,240.358024,0.793839,-0.005891,0.002830
159.894631,240.518839,0.791637,-0.005913,0.002850
160.274607,240.678328,0.789425,-0.005935,0.002870
160.654582,240.836490,0.787201,-0.005958,0.002890
161.034557,240.993325,0.784967,-0.005981,0.002911
161.414532,241.148835,0.782722,-0.006005,0.002932
161.794508,241.303024,0.780465,-0.006029,0.002954
162.174483,241.455895,0.778197,-0.006053,0.002975
162.554458,241.607442,0.775917,-0.006079,0.002998
162.934433,241.757652,0.773624,-0.006104,0.003020
163.314408,241.906485,0.771320,-0.006130,0.003044
163.694384,242.053849,0.769003,-0.006157,0.003067
164.074359,242.199654,0.766673,-0.006184,0.003091
164.454334,242.343956,0.764330,-0.006212,0.003115
164.834309,242.486895,0.761974,-0.006239,0.003140
165.214285,242.628566,0.759605,-0.006268,0.003165
165.594260,242.768952,0.757223,-0.006297,0.003191
165.974235,242.908018,0.754826,-0.006326,0.003216
166.354210,243.045760,0.752416,-0.006356,0.003243
166.734185,243.182189,0.749992,-0.006386,0.003269
167.114161,243.317316,0.747553,-0.006416,0.003297
167.494136,243.451139,0.745100,-0.006447,0.003324
167.874111,243.583657,0.742632,-0.006478,0.003352
168.254086,243.714875,0.740149,-0.006510,0.003381
168.634062,243.844808,0.737651,-0.006542,0.003409
169.014037,243.973459,0.735138,-0.006574,0.003438
169.394012,244.100800,0.732609,-0.006607,0.003468
169.773987,244.226796,0.730065,-0.006640,0.003498
170.153962,244.351386,0.727504,-0.006673,0.003529
170.533938,244.474487,0.724928,-0.006707,0.003559
170.913913,244.596062,0.722336,-0.006740,0.003591
171.293888,244.716227,0.719728,-0.006775,0.003622
171.673863,244.835124,0.717103,-0.006809,0.003654
172.053839,244.952804,0.714461,-0.006844,0.003687
172.433814,245.069235,0.711803,-0.006879,0.003720
172.813789,245.184392,0.709127,-0.006914,0.003753
173.193764,245.298283,0.706435,-0.006950,0.003786
173.573739,245.410926,0.703725,-0.006985,0.003821
173.953715,245.522324,0.700998,-0.007021,0.003855
174.333690,245.632469,0.698254,-0.007057,0.003890
174.713665,245.741359,0.695492,-0.007093,0.003925
175.093640,245.849033,0.692712,-0.007130,0.003961
175.473616,245.955538,0.689914,-0.007166,0.003997
175.853591,246.060791,0.687099,-0.007203,0.004033
176.233566,246.164580,0.684265,-0.007240,0.004070
176.613541,246.266756,0.681413,-0.007277,0.004107
176.993516,246.367479,0.678543,-0.007314,0.004144
177.373492,246.466989,0.675655,-0.007351,0.004182
177.753467,246.565388,0.672747,-0.007388,0.004220
178.133442,246.662626,0.669822,-0.007425,0.004259
178.513417,246.758656,0.666878,-0.007463,0.004297
178.893393,246.853484,0.663915,-0.007500,0.004337
179.273368,246.947131,0.660933,-0.007537,0.004376
179.653343,247.039612,0.657933,-0.007574,0.004416
180.033318,247.130932,0.654913,-0.007611,0.004456
180.413293,247.221095,0.651875,-0.007649,0.004497
180.793269,247.310095,0.648818,-0.007686,0.004537
181.173244,247.397921,0.645742,-0.007723,0.004578
181.553219,247.484514,0.642647,-0.007759,0.004620
181.933194,247.569755,0.639533,-0.007796,0.004661
182.313170,247.653559,0.636399,-0.007833,0.004703
182.693145,247.736045,0.633247,-0.007869,0.004745
183.073120,247.817396,0.630076,-0.007905,0.004788
183.453095,247.897707,0.626886,-0.007941,0.004830
183.833070,247.976949,0.623677,-0.007977,0.004873
184.213046,248.055088,0.620449,-0.008012,0.004916
184.593021,248.132119,0.617202,-0.008048,0.004959
184.972996,248.208051,0.613936,-0.008083,0.005002
185.352971,248.282907,0.610651,-0.008117,0.005046
185.732947,248.356733,0.607348,-0.008151,0.005090
186.112922,248.429557,0.604026,-0.008185,0.005134
186.492897,248.501271,0.600686,-0.008219,0.005178
186.872872,248.571719,0.597327,-0.008252,0.005222
187.252847,248.640847,0.593949,-0.008285,0.005266
187.632823,248.708765,0.590554,-0.008317,0.005310
188.012798,248.775585,0.587140,-0.008349,0.005354
188.392773,248.841365,0.583709,-0.008381,0.005399
188.772748,248.906137,0.580259,-0.008413,0.005444
189.152724,248.969922,0.576791,-0.008442,0.005488
189.532699,249.032719,0.573306,-0.008469,0.005530
189.912674,249.094527,0.569806,-0.008499,0.005575
190.292649,249.155360,0.566287,-0.008541,0.005628
190.672624,249.215239,0.562742,-0.008639,0.005718
191.052600,249.274165,0.559130,-0.008876,0.005902
191.432575,249.332106,0.555378,-0.009189,0.006140
191.812550,249.389023,0.551495,-0.009288,0.006236
192.192525,249.444864,0.547648,-0.009041,0.006100
