X,Y,Z
-94.69100665858781,233.21453703151292,460.3998596453904
-97.65789773967327,231.9878057872832,470.90052739281515
-100.60890082488484,230.72333236973586,481.40119514023945
-103.54353581442689,229.42132249620997,491.9018628876641
-106.46132527180139,228.08198799168144,502.4025306350891
-109.36179450086895,226.7055467529035,512.9031983825143
-112.2444716224572,225.2922227122404,523.4038661300434
-115.10888766925474,223.8422458241277,533.9045338770176
-117.94930814211071,222.3458032933117,544.4051823666077
-120.7199317028091,220.7193981856982,554.9049666821039
-123.32343750796272,218.79531916306652,565.396553380978
-125.62882981485183,216.36735118557144,575.8521487073115
-127.50514603635779,213.254981728623,586.2105129941064
-128.86133825667685,209.36202461663544,596.3837726613584
-129.6709753712555,204.69775890443668,606.2874806424682
-129.96741462951684,199.35118014639016,615.8706249644029
-129.81866253097604,193.44428533430988,625.1234460656525
-129.3017467390491,187.09532632130163,634.0658164134002
-128.48663162131248,180.40169582466382,642.7308665819874
-127.42868375521644,173.43690474357857,651.15290275966
-126.16765898236626,166.25310435521328,659.3604992030313
-124.72951988288654,158.88498537261685,667.3733828505137
-123.12868143547969,151.35369403328497,675.2016352666357
-121.3701612335425,143.6702772537792,682.8460695163288
-119.45154081186196,135.83862606722633,690.2991435913561
-117.36477158087851,127.85800584687728,697.5460950908301
-115.0978780088424,119.72525504271965,704.5661653161679
-112.63661108925994,111.43671030271125,711.333904909837
-109.9661221092076,102.9899053248635,717.8206719348861
-107.07271054449758,94.38505014764586,723.9964992848984
-103.94559825712166,85.62620354260987,729.8324429535328
-100.57849802071965,76.72194143703824,735.3032715093991
-96.97056794335518,67.68529461590917,740.3899698000836
-93.12633575165007,58.53287555054116,745.0812258052456
-89.05444437442459,49.28341790255861,749.3731552197974
-84.76544814105075,39.95621039847557,753.2669894213285
-80.2691237916953,30.569958020356275,756.7650062554321
-75.5717560873379,21.142475289922075,759.8653219623721
-70.6737407159227,11.691459189187613,762.5562513603519
-65.56793008164546,2.2364927288121756,764.8111836963853
-60.2397113139828,-7.197802077593512,766.5858910837801
-54.67063530359606,-16.578452576035563,767.8218203610231
-48.84709036530575,-25.863511207412223,768.4592876243947
-42.77162682218899,-35.00781895685186,768.4592876243946
-36.46878784157354,-43.974435387859614,767.8218203610229
-29.979215565288364,-52.74350962943505,766.5858910837796
-23.346854642533533,-61.31133445961042,764.8111836963847
-16.609250665461747,-69.68214001511434,762.5562513603512
-9.794764476228128,-77.85985594877879,759.8653219623714
-2.9242187355368956,-85.84348264393726,756.7650062554311
3.9862256962440368,-93.62579747409077,753.2669894213275
10.922581710813603,-101.19410334484377,749.3731552197958
17.87139451365463,-108.5321389675991,745.0812258052437
24.818972505688652,-115.6227000128519,740.3899698000816
31.751395084201203,-122.45055929713104,735.3032715093966
38.65510238866284,-129.0051052845368,729.8324429535301
45.51775557231882,-135.28206445194058,723.9964992848958
52.32901240560732,-141.2839094561601,717.8206719348831
59.08095456012203,-147.01900342822879,711.3339049098339
65.76807924247257,-152.49989498337246,704.5661653161649
72.3869059378866,-157.74122833334548,697.5460950908267
78.93529004351535,-162.75755871819626,690.2991435913524
85.41150537060723,-167.56115108927222,682.8460695163251
91.81311019059022,-172.15970982402652,675.2016352666316
98.13558031043695,-176.553956580438,667.3733828505099
104.3706763804791,-180.73498497169518,659.3604992030268
110.5044904924998,-184.68131186347665,651.152902759655
