z,s,u,v,X,Y,Z,Phi,sigma,newton_iters,bisected,ratio,converged
562.5455982107944,2812727.991053976,1866.8296116373183,44.86130703917576,1808803.4738767066,2183638.3990390794,-952987.8953513486,-3.5369303077459335e-06,5000.0,3,0,2.157810648452983,True
563.1155532241793,2815577.7661209004,1866.2644175044888,44.86035160981223,1807552.2614515545,2177888.887250798,-951231.0927115172,-5.288748070597649e-07,5000.0,3,0,2.153365205938108,True
563.685508237564,2818427.541187824,1865.6747348536821,44.85958118611686,1805749.4968916287,2172309.083954133,-949400.4727238774,9.343493729829788e-07,5000.0,3,0,2.1541068626840927,True
564.2554632509489,2821277.3162547485,1865.092944761346,44.85874915390917,1804123.701957148,2166683.468363257,-947596.6556273481,-2.301763743162155e-06,5000.0,3,0,2.1486579096095917,True
564.8254182643336,2824127.0913216723,1864.5329277160595,44.857750805740615,1802981.920770251,2160921.330781351,-945862.5025450023,1.2737000361084938e-06,5000.0,3,0,2.1477729761840156,True
565.3953732777185,2826976.8663885966,1863.9555169915911,44.85688299675167,1801450.5866093999,2155280.9801142183,-944076.7027045309,-1.280568540096283e-09,4999.999999999999,3,0,2.1430171043190014,True
565.9653282911032,2829826.6414555204,1863.3995053953033,44.85585230146418,1800391.3847799192,2149507.4393109265,-942359.2092428153,-3.484310582280159e-07,5000.0,3,0,2.1446874199954937,True
566.5352833044881,2832676.4165224447,1862.8256228680173,44.85495546063168,1798933.8836519574,2143858.421188099,-940588.6971532041,-2.7706846594810486e-07,5000.000000000001,3,0,2.137927517910967,True
567.1052383178728,2835526.1915893685,1862.2500514199492,44.85407004427186,1797437.5643525869,2138227.4938191036,-938815.2012862664,-1.162756234407425e-06,4999.999999999999,3,0,2.135657272685587,True
567.6751933312577,2838375.966656293,1861.6822288530777,44.85312515786025,1796109.4367013536,2132553.371790603,-937067.7657452611,1.6154954209923744e-06,5000.0,3,0,2.133400192824848,True
