z,r,dr_dz,d2r_dz2,curvature
100.344642,201.256542,1.123990,-0.010221,0.003002
100.729105,201.587843,1.120685,-0.010516,0.003103
101.113567,201.918370,1.117302,-0.010486,0.003110
101.498029,202.248118,1.114004,-0.009995,0.002979
101.882491,202.577090,1.110924,-0.009329,0.002793
102.266953,202.905285,1.108043,-0.008884,0.002672
102.651416,203.232703,1.105238,-0.008788,0.002654
103.035878,203.559344,1.102410,-0.008856,0.002686
103.420340,203.885207,1.099554,-0.008889,0.002707
103.804802,204.210291,1.096697,-0.008844,0.002705
104.189265,204.534594,1.093861,-0.008756,0.002690
104.573727,204.858116,1.091053,-0.008648,0.002668
104.958189,205.180855,1.088279,-0.008518,0.002638
105.342651,205.502811,1.085547,-0.008427,0.002621
105.727114,205.823981,1.082825,-0.008541,0.002667
106.111576,206.144363,1.080011,-0.008934,0.002802
106.496038,206.463957,1.077026,-0.009357,0.002948
106.880500,206.782760,1.073928,-0.009387,0.002971
107.264962,207.100770,1.070914,-0.008891,0.002826
107.649425,207.417985,1.068131,-0.008228,0.002627
108.033887,207.734403,1.065542,-0.007830,0.002509
108.418349,208.050021,1.063012,-0.007784,0.002504
108.802811,208.364837,1.060447,-0.007873,0.002542
109.187274,208.678849,1.057852,-0.007894,0.002559
109.571736,208.992054,1.055266,-0.007825,0.002547
109.956198,209.304449,1.052710,-0.007727,0.002524
110.340660,209.616031,1.050182,-0.007655,0.002510
110.725123,209.926798,1.047667,-0.007613,0.002506
111.109585,210.236747,1.045160,-0.007575,0.002503
111.494047,210.545874,1.042664,-0.007516,0.002493
111.878509,210.854177,1.040190,-0.007440,0.002477
112.262971,211.161651,1.037738,-0.007429,0.002482
112.647434,211.468295,1.035265,-0.007596,0.002547
113.031896,211.774104,1.032696,-0.007905,0.002661
113.416358,212.079075,1.030011,-0.008091,0.002735
113.800820,212.383204,1.027312,-0.007900,0.002681
114.185283,212.686488,1.024747,-0.007425,0.002530
114.569745,212.988923,1.022358,-0.007009,0.002396
114.954207,213.290505,1.020064,-0.006863,0.002354
115.338669,213.591231,1.017768,-0.006901,0.002376
115.723132,213.891096,1.015444,-0.006941,0.002398
116.107594,214.190096,1.013115,-0.006910,0.002395
116.492056,214.488227,1.010806,-0.006838,0.002379
116.876518,214.785485,1.008521,-0.006770,0.002363
117.260980,215.081866,1.006252,-0.006721,0.002354
117.645443,215.377365,1.003994,-0.006684,0.002349
118.029905,215.671979,1.001746,-0.006652,0.002346
118.414367,215.965702,0.999504,-0.006627,0.002345
118.798829,216.258530,0.997268,-0.006596,0.002342
119.183292,216.550458,0.995042,-0.006537,0.002328
119.567754,216.841482,0.992841,-0.006449,0.002305
119.952216,217.131597,0.990670,-0.006417,0.002301
120.336678,217.420798,0.988486,-0.006557,0.002359
120.721141,217.709080,0.986214,-0.006847,0.002471
121.105603,217.996439,0.983828,-0.007034,0.002548
121.490065,218.282869,0.981424,-0.006884,0.002503
121.874527,218.568366,0.979134,-0.006489,0.002367
122.258989,218.852923,0.976994,-0.006155,0.002253
122.643452,219.136538,0.974928,-0.006054,0.002223
123.027914,219.419203,0.972853,-0.006097,0.002245
123.412376,219.700913,0.970753,-0.006128,0.002264
123.796838,219.981664,0.968652,-0.006099,0.002260
124.181301,220.261451,0.966568,-0.006040,0.002245
124.565763,220.540267,0.964503,-0.005991,0.002234
124.950225,220.818107,0.962448,-0.005960,0.002229
125.334687,221.094966,0.960400,-0.005935,0.002227
125.719150,221.370839,0.958359,-0.005909,0.002224
126.103612,221.645719,0.956325,-0.005879,0.002219
126.488074,221.919601,0.954299,-0.005851,0.002215
126.872536,222.192480,0.952281,-0.005827,0.002213
127.256998,222.464350,0.950268,-0.005807,0.002212
127.641461,222.735205,0.948259,-0.005783,0.002210
128.025923,223.005040,0.946259,-0.005751,0.002204
128.410385,223.273849,0.944268,-0.005719,0.002198
128.794847,223.541625,0.942286,-0.005711,0.002202
