s,X,Y,Z,lambda,phi
1026.67911954115,66.4957221752605,-257.239889576629,846.671068263384,304.904505219194,4.2632564145606e-14
1030.95694920591,71.2275498367839,-261.943085278341,841.326597114873,305.320028854388,2.8421709430404e-14
1035.23477887066,76.5222654541758,-266.828048704948,835.351122556186,306.164360548238,-2.8421709430404e-14
1039.51260853542,82.4389764007633,-271.7973381192,828.707559060148,307.427953421851,4.2632564145606e-14
1043.79043820017,88.9681979981646,-276.764934747704,821.347805290532,309.085923761947,2.8421709430404e-14
1048.06826786493,96.0867239457287,-281.602796291717,813.256062360344,311.083636639681,4.2632564145606e-14
1052.34609752968,103.730484762271,-286.167178998527,804.444183974168,313.340502168246,-2.8421709430404e-14
1056.62392719444,111.79851302464,-290.30593174932,794.962172870086,315.752891349294,4.2632564145606e-14
1060.90175685919,120.201169258901,-293.835884890732,784.934996423644,318.194571941884,-1.4210854715202e-14
1065.17958652395,128.338769547501,-297.02900991204,774.161706108193,320.621335383139,0
1069.4574161887,136.068510240625,-299.749715446441,762.840191586259,322.887604051429,1.4210854715202e-14
1073.73524585346,143.655680398953,-301.605311053583,751.478029705516,324.828962973973,0
1078.01307551821,151.028262270044,-302.589057755922,740.304477238858,326.382031897652,-5.6843418860808e-14
1082.29090518297,157.623728256174,-303.121249421999,729.191461148176,327.546166882169,7.105427357601e-15
1086.56873484772,163.433306513295,-303.242222419413,718.35473701132,328.285842851412,-2.1316282072803e-14
1090.84656451248,168.44592310927,-303.043889290651,707.948816516631,328.593612778708,-2.1316282072803e-14
1095.12439417723,172.688471625967,-302.620385568621,698.091834001321,328.480140823758,4.9737991503207e-14
1099.40222384199,176.222360554249,-302.054210446952,688.866125232107,327.968909602734,7.8159700933611e-14
1103.68005350674,179.110228823177,-301.425349141182,680.306081578071,327.091915022501,2.1316282072803e-14
1107.9578831715,181.469984541603,-300.766586035243,672.438698023832,325.885172212686,4.9737991503207e-14
1112.23571283625,183.409347273858,-300.102000036725,665.259210753012,324.385648644922,0
1116.51354250101,185.015568111366,-299.451673162586,658.733263225041,322.629836032791,-2.48689957516035e-14
1120.79137216576,186.366157065789,-298.825072072686,652.812803073676,320.652016727364,0
1125.06920183051,187.557096909652,-298.20537108461,647.445094067913,318.487913166977,6.57252030578093e-14
1129.34703149527,188.629828506412,-297.598266584009,642.533142283693,316.17731452524,-2.8421709430404e-14
1133.62486116002,189.60106487362,-297.015025781721,638.03138723854,313.736623239963,-5.24025267623074e-14
1137.90269082478,190.556240873606,-296.416802270471,633.888848589125,311.196277553871,2.79776202205539e-14
1142.18052048953,191.504372302891,-295.808396392098,630.016856679203,308.587917970322,3.33066907387547e-15
1146.45835015429,192.465459224717,-295.184086248596,626.361036577633,305.93354186352,-4.44089209850063e-15
1150.73617981904,193.475328933641,-294.523165240053,622.844342250287,303.267023233729,-1.77635683940025e-14
1155.0140094838,194.488866918188,-293.854859435537,619.434965263229,300.589672566362,-3.46389583683049e-14
1159.29183914855,195.549623474014,-293.150034160277,616.090909275994,297.924563757377,-2.48689957516035e-14
1163.56966881331,196.64066589008,-292.419298760027,612.763507077478,295.288210936508,-1.06581410364015e-14
1167.84749847806,197.802706342165,-291.634509502417,609.436779784556,292.694925327956,-2.8421709430404e-14
1172.12532814282,198.97199877942,-290.837998670604,606.025496729557,290.171786816255,0
1176.40315780757,200.159681908684,-290.021894875567,602.584741429846,287.69759067008,-4.2632564145606e-14
1180.68098747233,201.389319773653,-289.169396116023,599.097786258911,285.28551939097,4.61852778244065e-14
1184.95881713708,202.688334379385,-288.260362997604,595.434589872977,283.004913057761,-6.3948846218409e-14
1189.23664680184,203.952475325299,-287.367335613642,591.831338040417,280.72470853091,2.48689957516035e-14
1193.51447646659,205.126522871404,-286.530465018447,587.985219216133,278.584269893936,-1.4210854715202e-14
1197.79230613135,206.546357216225,-285.508669027242,584.095006871477,276.55358031309,-2.1316282072803e-14
1202.0701357961,207.81282615625,-284.588170966314,580.160918706085,274.556635558043,4.9737991503207e-14
1206.34796546086,209.093082838293,-283.648868282915,576.109331319193,272.665925705998,1.06581410364015e-14
1210.62579512561,210.389906165182,-282.688318033848,571.977962746645,270.864862664832,7.105427357601e-15
1214.90362479037,211.684651348729,-281.720084751455,567.736865042874,269.168415339285,1.4210854715202e-14
1219.18145445512,212.894429125073,-280.806979643508,563.498169453003,267.499653034793,0
1223.45928411988,214.177911443282,-279.829269410464,559.170269368686,265.942412154772,0
1227.73711378463,215.414581768615,-278.878388783449,554.764512640101,264.467966243737,2.1316282072803e-14
1232.01494344939,216.633797746018,-277.932357675635,550.275536118742,263.087171869714,-7.105427357601e-15
1236.29277311414,217.932049378682,-276.915546011068,545.743624913562,261.797537600204,-7.105427357601e-15
1240.57060277889,219.173053364067,-275.934358948051,541.172913704639,260.568961493946,-7.105427357601e-15
1244.84843244365,220.317898291547,-275.021129118102,536.626086818426,259.354150151059,1.4210854715202e-14
1249.1262621084,221.554712638343,-274.025741631587,531.812884171354,258.375714029199,0
1253.40409177316,222.817422856616,-272.99998871893,526.933388148427,257.497892721729,1.4210854715202e-14
