z,r,dr_dz,d2r_dz2,curvature
99.575718,200.621977,0.867068,-0.005226,0.002254
99.960180,200.954946,0.865059,-0.005226,0.002261
100.344642,201.287142,0.863049,-0.005227,0.002268
100.729105,201.618565,0.861039,-0.005229,0.002276
101.113567,201.949216,0.859029,-0.005232,0.002283
101.498029,202.279093,0.857017,-0.005235,0.002292
101.882491,202.608197,0.855003,-0.005239,0.002300
102.266953,202.936526,0.852988,-0.005243,0.002309
102.651416,203.264081,0.850972,-0.005249,0.002318
103.035878,203.590859,0.848952,-0.005255,0.002328
103.420340,203.916861,0.846931,-0.005261,0.002338
103.804802,204.242085,0.844907,-0.005269,0.002348
104.189265,204.566530,0.842880,-0.005277,0.002359
104.573727,204.890196,0.840849,-0.005286,0.002370
104.958189,205.213080,0.838815,-0.005295,0.002381
105.342651,205.535181,0.836778,-0.005305,0.002393
105.727114,205.856499,0.834736,-0.005316,0.002405
106.111576,206.177030,0.832690,-0.005328,0.002418
106.496038,206.496774,0.830639,-0.005340,0.002431
106.880500,206.815729,0.828584,-0.005353,0.002444
107.264962,207.133893,0.826524,-0.005366,0.002457
107.649425,207.451263,0.824458,-0.005380,0.002471
108.033887,207.767839,0.822387,-0.005395,0.002486
108.418349,208.083617,0.820310,-0.005410,0.002500
108.802811,208.398595,0.818227,-0.005426,0.002515
109.187274,208.712771,0.816137,-0.005443,0.002531
109.571736,209.026143,0.814042,-0.005460,0.002547
109.956198,209.338708,0.811939,-0.005478,0.002563
110.340660,209.650463,0.809829,-0.005496,0.002580
110.725123,209.961405,0.807713,-0.005516,0.002597
111.109585,210.271533,0.805588,-0.005535,0.002614
111.494047,210.580842,0.803456,-0.005556,0.002632
111.878509,210.889330,0.801317,-0.005577,0.002650
112.262971,211.196994,0.799168,-0.005598,0.002669
112.647434,211.503830,0.797012,-0.005620,0.002688
113.031896,211.809836,0.794847,-0.005643,0.002707
113.416358,212.115008,0.792673,-0.005666,0.002727
113.800820,212.419342,0.790490,-0.005690,0.002747
114.185283,212.722835,0.788298,-0.005714,0.002768
114.569745,213.025483,0.786096,-0.005739,0.002789
114.954207,213.327284,0.783885,-0.005765,0.002810
115.338669,213.628232,0.781664,-0.005791,0.002832
115.723132,213.928324,0.779432,-0.005817,0.002854
116.107594,214.227556,0.777191,-0.005844,0.002877
116.492056,214.525925,0.774938,-0.005872,0.002900
116.876518,214.823425,0.772676,-0.005900,0.002923
117.260980,215.120054,0.770402,-0.005929,0.002947
117.645443,215.415806,0.768117,-0.005958,0.002972
118.029905,215.710678,0.765820,-0.005988,0.002996
118.414367,216.004664,0.763513,-0.006018,0.003022
118.798829,216.297761,0.761193,-0.006048,0.003047
119.183292,216.589964,0.758862,-0.006079,0.003073
119.567754,216.881269,0.756519,-0.006111,0.003100
119.952216,217.171670,0.754163,-0.006143,0.003126
120.336678,217.461163,0.751795,-0.006176,0.003154
120.721141,217.749744,0.749415,-0.006208,0.003181
121.105603,218.037406,0.747021,-0.006242,0.003210
121.490065,218.324147,0.744615,-0.006276,0.003238
121.874527,218.609959,0.742196,-0.006310,0.003267
122.258989,218.894839,0.739763,-0.006344,0.003296
122.643452,219.178781,0.737318,-0.006379,0.003326
123.027914,219.461781,0.734858,-0.006415,0.003357
123.412376,219.743832,0.732385,-0.006451,0.003387
123.796838,220.024929,0.729898,-0.006487,0.003418
124.181301,220.305068,0.727397,-0.006523,0.003450
124.565763,220.584243,0.724882,-0.006560,0.003482
124.950225,220.862448,0.722353,-0.006597,0.003514
125.334687,221.139678,0.719809,-0.006635,0.003547
125.719150,221.415927,0.717251,-0.006673,0.003580
126.103612,221.691189,0.714678,-0.006711,0.003614
126.488074,221.965460,0.712091,-0.006750,0.003648
126.872536,222.238733,0.709488,-0.006789,0.003683
127.256998,222.511003,0.706871,-0.006828,0.003718
127.641461,222.782264,0.704238,-0.006867,0.003753
128.025923,223.052509,0.701590,-0.006907,0.003789
128.410385,223.321734,0.698927,-0.006947,0.003825
128.794847,223.589931,0.696249,-0.006987,0.003862
129.179310,223.857096,0.693555,-0.007027,0.003899
129.563772,224.123223,0.690845,-0.007068,0.003936
129.948234,224.388304,0.688120,-0.007109,0.003974
130.332696,224.652335,0.685379,-0.007150,0.004013
130.717159,224.915309,0.682622,-0.007191,0.004051
131.101621,225.177220,0.679850,-0.007233,0.004091
131.486083,225.438062,0.677061,-0.007274,0.004130
131.870545,225.697829,0.674256,-0.007316,0.004170
132.255008,225.956514,0.671435,-0.007358,0.004211
132.639470,226.214112,0.668599,-0.007400,0.004251
133.023932,226.470616,0.665745,-0.007442,0.004292
133.408394,226.726020,0.662876,-0.007484,0.004334
133.792856,226.980317,0.659990,-0.007527,0.004376
134.177319,227.233503,0.657088,-0.007569,0.004418
134.561781,227.485569,0.654170,-0.007612,0.004461
134.946243,227.736510,0.651235,-0.007654,0.004504
135.330705,227.986320,0.648284,-0.007697,0.004547
135.715168,228.234992,0.645317,-0.007740,0.004591
136.099630,228.482520,0.642333,-0.007782,0.004635
136.484092,228.728897,0.639333,-0.007825,0.004680
136.868554,228.974118,0.636316,-0.007868,0.004725
137.253017,229.218177,0.633283,-0.007911,0.004770
137.637479,229.461065,0.630234,-0.007953,0.004816
138.021941,229.702779,0.627168,-0.007996,0.004862
138.406403,229.943310,0.624085,-0.008038,0.004908
138.790865,230.182653,0.620987,-0.008081,0.004954
139.175328,230.420802,0.617872,-0.008123,0.005001
139.559790,230.657750,0.614741,-0.008165,0.005048
139.944252,230.893491,0.611593,-0.008208,0.005096
140.328714,231.128019,0.608430,-0.008250,0.005144
140.713177,231.361328,0.605250,-0.008291,0.005192
141.097639,231.593411,0.602054,-0.008333,0.005240
141.482101,231.824262,0.598842,-0.008375,0.005288
141.866563,232.053875,0.595615,-0.008416,0.005337
142.251026,232.282245,0.592371,-0.008457,0.005386
142.635488,232.509364,0.589112,-0.008498,0.005436
143.019950,232.735227,0.585837,-0.008539,0.005485
143.404412,232.959828,0.582546,-0.008579,0.005535
143.788874,233.183161,0.579240,-0.008620,0.005585
144.173337,233.405219,0.575918,-0.008660,0.005635
144.557799,233.625998,0.572581,-0.008699,0.005685
144.942261,233.845491,0.569229,-0.008738,0.005736
145.326723,234.063692,0.565862,-0.008777,0.005786
145.711186,234.280596,0.562480,-0.008816,0.005837
